index,model,epochs,lr,save_interval,not_save,verbose_interval,batch_size,dataset,momentum,wd,sparsity,patience,bilinear,init_type,score
resnet18_10_normal_tiny-imagenet_2020_Mar_01_15:58:50,resnet18,50,0.5,-1,True,50,2048,tiny-imagenet,0.9,0.001,10,5,False,normal,0.3741
resnet18_10_signed_tiny-imagenet_2020_Mar_01_14:05:48,resnet18,50,0.5,-1,True,50,2048,tiny-imagenet,0.9,0.001,10,5,False,signed,0.3748
resnet18_30_normal_tiny-imagenet_2020_Mar_01_16:21:32,resnet18,50,0.5,-1,True,50,2048,tiny-imagenet,0.9,0.001,30,5,False,normal,0.4014
resnet18_30_signed_tiny-imagenet_2020_Mar_01_14:28:10,resnet18,50,0.5,-1,True,50,2048,tiny-imagenet,0.9,0.001,30,5,False,signed,0.3942
resnet18_50_normal_tiny-imagenet_2020_Mar_01_16:45:40,resnet18,50,0.5,-1,True,50,2048,tiny-imagenet,0.9,0.001,50,5,False,normal,0.3913
resnet18_50_signed_tiny-imagenet_2020_Mar_01_14:50:49,resnet18,50,0.5,-1,True,50,2048,tiny-imagenet,0.9,0.001,50,5,False,signed,0.3959
resnet18_70_normal_tiny-imagenet_2020_Mar_01_17:10:58,resnet18,50,0.5,-1,True,50,2048,tiny-imagenet,0.9,0.001,70,5,False,normal,0.3397
resnet18_70_signed_tiny-imagenet_2020_Mar_01_15:13:18,resnet18,50,0.5,-1,True,50,2048,tiny-imagenet,0.9,0.001,70,5,False,signed,0.3566
resnet18_90_normal_tiny-imagenet_2020_Mar_01_17:36:00,resnet18,50,0.5,-1,True,50,2048,tiny-imagenet,0.9,0.001,90,5,False,normal,0.1681
resnet18_90_signed_tiny-imagenet_2020_Mar_01_15:35:55,resnet18,50,0.5,-1,True,50,2048,tiny-imagenet,0.9,0.001,90,5,False,signed,0.173
resnet34_10_normal_tiny-imagenet_2020_Mar_10_02:36:07,resnet34,50,0.1,-1,True,50,2048,tiny-imagenet,0.9,0.01,10,5,False,normal,0.4022
resnet34_10_signed_tiny-imagenet_2020_Mar_10_05:30:51,resnet34,50,0.1,-1,True,50,2048,tiny-imagenet,0.9,0.01,10,5,False,signed,0.3827
resnet34_30_normal_tiny-imagenet_2020_Mar_10_03:08:24,resnet34,50,0.1,-1,True,50,2048,tiny-imagenet,0.9,0.01,30,5,False,normal,0.3944
resnet34_30_signed_tiny-imagenet_2020_Mar_10_06:02:38,resnet34,50,0.1,-1,True,50,2048,tiny-imagenet,0.9,0.01,30,5,False,signed,0.401
